comparison,outcome,block,order,position,label,variant,eager,elapsed_ns,checksum,status,error
steady_eager_over_lazy,steady,6,ABBA,2,B,same_image_eager,1,61027006,25624938568,ok,
steady_eager_over_lazy,steady,6,ABBA,3,A,lazy,0,67824526,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,0,B,same_image_eager,1,61151746,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,1,A,lazy,0,67892026,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,2,A,lazy,0,67918625,25624938568,ok,
steady_eager_over_lazy,steady,7,BAAB,3,B,same_image_eager,1,61047697,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,0,A,lazy,0,67874436,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,1,B,same_image_eager,1,61122006,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,2,B,same_image_eager,1,61173957,25624938568,ok,
steady_eager_over_lazy,steady,8,ABBA,3,A,lazy,0,67831866,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,0,B,same_image_eager,1,61178316,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,1,A,lazy,0,67868576,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,2,A,lazy,0,67893696,25624938568,ok,
steady_eager_over_lazy,steady,9,BAAB,3,B,same_image_eager,1,61097726,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,0,A,lazy,0,67811606,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,1,B,same_image_eager,1,61098806,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,2,B,same_image_eager,1,61100836,25624938568,ok,
steady_eager_over_lazy,steady,10,ABBA,3,A,lazy,0,67975676,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,0,B,same_image_eager,1,61132126,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,1,A,lazy,0,67881876,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,2,A,lazy,0,67890166,25624938568,ok,
steady_eager_over_lazy,steady,11,BAAB,3,B,same_image_eager,1,61111257,25624938568,ok,
steady_aa,steady,0,ABBA,0,A,lazy,0,67890186,25624938568,ok,
steady_aa,steady,0,ABBA,1,B,lazy_b,0,67995226,25624938568,ok,
steady_aa,steady,0,ABBA,2,B,lazy_b,0,68119866,25624938568,ok,
steady_aa,steady,0,ABBA,3,A,lazy,0,67973566,25624938568,ok,
steady_aa,steady,1,BAAB,0,B,lazy_b,0,67895926,25624938568,ok,
steady_aa,steady,1,BAAB,1,A,lazy,0,67807006,25624938568,ok,
steady_aa,steady,1,BAAB,2,A,lazy,0,68150216,25624938568,ok,
steady_aa,steady,1,BAAB,3,B,lazy_b,0,67895345,25624938568,ok,
steady_aa,steady,2,ABBA,0,A,lazy,0,67982486,25624938568,ok,
steady_aa,steady,2,ABBA,1,B,lazy_b,0,67990456,25624938568,ok,
steady_aa,steady,2,ABBA,2,B,lazy_b,0,67918916,25624938568,ok,
steady_aa,steady,2,ABBA,3,A,lazy,0,67896856,25624938568,ok,
steady_aa,steady,3,BAAB,0,B,lazy_b,0,67894276,25624938568,ok,
steady_aa,steady,3,BAAB,1,A,lazy,0,67903286,25624938568,ok,
steady_aa,steady,3,BAAB,2,A,lazy,0,67897876,25624938568,ok,
steady_aa,steady,3,BAAB,3,B,lazy_b,0,67946766,25624938568,ok,
steady_aa,steady,4,ABBA,0,A,lazy,0,67864836,25624938568,ok,
steady_aa,steady,4,ABBA,1,B,lazy_b,0,64200006,25624938568,ok,
steady_aa,steady,4,ABBA,2,B,lazy_b,0,67746496,25624938568,ok,
steady_aa,steady,4,ABBA,3,A,lazy,0,67904496,25624938568,ok,
steady_aa,steady,5,BAAB,0,B,lazy_b,0,67892606,25624938568,ok,
steady_aa,steady,5,BAAB,1,A,lazy,0,67824875,25624938568,ok,
steady_aa,steady,5,BAAB,2,A,lazy,0,67870396,25624938568,ok,
steady_aa,steady,5,BAAB,3,B,lazy_b,0,67877346,25624938568,ok,
steady_aa,steady,6,ABBA,0,A,lazy,0,67892806,25624938568,ok,
steady_aa,steady,6,ABBA,1,B,lazy_b,0,67890276,25624938568,ok,
steady_aa,steady,6,ABBA,2,B,lazy_b,0,67817646,25624938568,ok,
steady_aa,steady,6,ABBA,3,A,lazy,0,67877666,25624938568,ok,
steady_aa,steady,7,BAAB,0,B,lazy_b,0,67890706,25624938568,ok,
steady_aa,steady,7,BAAB,1,A,lazy,0,67897136,25624938568,ok,
steady_aa,steady,7,BAAB,2,A,lazy,0,67895656,25624938568,ok,
steady_aa,steady,7,BAAB,3,B,lazy_b,0,68040726,25624938568,ok,
steady_aa,steady,8,ABBA,0,A,lazy,0,67890696,25624938568,ok,
steady_aa,steady,8,ABBA,1,B,lazy_b,0,67924426,25624938568,ok,
steady_aa,steady,8,ABBA,2,B,lazy_b,0,67814556,25624938568,ok,
steady_aa,steady,8,ABBA,3,A,lazy,0,68044826,25624938568,ok,
steady_aa,steady,9,BAAB,0,B,lazy_b,0,67894816,25624938568,ok,
steady_aa,steady,9,BAAB,1,A,lazy,0,67943646,25624938568,ok,
steady_aa,steady,9,BAAB,2,A,lazy,0,67895026,25624938568,ok,
steady_aa,steady,9,BAAB,3,B,lazy_b,0,67868246,25624938568,ok,
steady_aa,steady,10,ABBA,0,A,lazy,0,67888696,25624938568,ok,
steady_aa,steady,10,ABBA,1,B,lazy_b,0,67892456,25624938568,ok,
steady_aa,steady,10,ABBA,2,B,lazy_b,0,67876426,25624938568,ok,
steady_aa,steady,10,ABBA,3,A,lazy,0,67870636,25624938568,ok,
steady_aa,steady,11,BAAB,0,B,lazy_b,0,67934316,25624938568,ok,
steady_aa,steady,11,BAAB,1,A,lazy,0,68020096,25624938568,ok,
steady_aa,steady,11,BAAB,2,A,lazy,0,67894436,25624938568,ok,
steady_aa,steady,11,BAAB,3,B,lazy_b,0,67895106,25624938568,ok,
